name,company_name,pack_size,price
Arnil,Brookes,Pack Size: 2x10's,Rs 68
Artifen,Abbott Laboratories,Pack Size: 10x10's,Rs 69
Advacort Ointment,Atco,Pack Size: 0.1%,Rs 144
AV-Sartan 10 mg/ 160 mg,Barrett,Pack Size: 14,Rs 540
Aidra,Wilshire,Pack Size: 3x10's,Rs 360
Acabel,Continental Pharma,Pack Size: 1x10's,Rs 113
Acabel,Continental Pharma,Pack Size: 1x10's,Rs 188
Atcam,Atco,Pack Size: 10's,Rs 198
Apranax,Martin Dow,Pack Size: 2x10's,Rs 175
Aproxen DS,Schazoo Pharmaceuticals,Pack Size: 2x10's,Rs 175
Axicam,Mass-PH Health,Pack Size: 1x20's,Rs 226
Adronil,Searle,Pack Size: 1 Ampx3ml,"Rs 2,008"
Aurora,Ferozsons,Pack Size: 1x10's,Rs 329
Abriva 400mg,CCL,Pack Size: 28's,"Rs 5,281"
Anplag,Pharm Evo,Pack Size: 2x10's,Rs 707
Arixtra 2.5mg Pre filled Syringe 5ml,Aspin Pharma,Pack Size: 1,"Rs 3,915"
Anvol,Aspin Pharma,Pack Size: 1 x 14's,Rs 294
Anvol 2.5mg,Aspin Pharma,Pack Size: 1 x 14's,Rs 140
Awzi,Amson,Pack Size: 1x10's,Rs 239
Amlo-Q,High-Q,Pack Size: 2x10's,Rs 84
Adablizer,Adamjee Pharmaceuticals,Pack Size: 3x10's,Rs 120
Acnes Scar Care,Rohto Mentholatum,Pack Size: 12gm,Rs 622
Aqua D,Matrix,Pack Size: 10ml,Rs 396
AD Folic 600mcg,Pharm Evo,Pack Size: 3x10's,Rs 203
Adapco Forte Gel 15G,Atco,Pack Size: 1's,Rs 391
Apizyt 120 ml syrup,Hinucon,Pack Size: 120ml,Rs 252
Aquavit,Wilson's,Pack Size: 10,Rs 19
Alcuflex 550mg,ICI Pakistan Limited,Pack Size: 20's,Rs 192
Amorin,Mass-PH Health,Pack Size: 10x10's,Rs 178
Actifed-DM,GlaxoSmithKline,Pack Size: 90ml,Rs 132
Avsar,Pharm Evo,Pack Size: 2x7's,Rs 222
Ampress 10mg Tablet,Barrett,Pack Size: 20,Rs 180
Aminovel 600mg Injection,Otsuka,Pack Size: 500ml,Rs 815
Atenolol 100mg,Zafa,Pack Size: 2x10's,Rs 59
Alzilo,Searle,Pack Size: 1x10's,Rs 182
Amgydex Eye Drop 5ml,Kobec,Pack Size: 1,Rs 194
Actiflor,Pharm Evo,Pack Size: 1x10's,Rs 50
Ampiclox Drop 90mg,GlaxoSmithKline,Pack Size: 20ml,Rs 113
Awardin Plus,Werick,Pack Size: 2 x 10's,Rs 237
Amgy,Kobec,Pack Size: 5ml,Rs 135
Amlocard 10,Pharmatec,Pack Size: 2 x 10's,Rs 209
