Product_Name,Product_Price,Product_Sold
"Mobile - Imported Original Vivo Y66 Mobile | 100% INSPECTED | 4GB RAM | 64GB ROM(STORAGE) | 2930mAh Battery | Fresh | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",10999,12
"Mobile - Imported Original Vivo Y81 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | 3260mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",15499,
Tecno Spark 40C 4GB + 4GB Extended Ram 128GB Rom || 6.67'' Smooth Display 120Hz || 6000mAh 18W Fast Charging || IP64,38999,8
Memobile Power 200 - 1.8 Inch Display - Without Camera - 3000mAH Battery - Dual Sims Support - auto call recording - PTA approved - 1 Year Brand Warranty,2699,
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality |  Vivo Mobile Phone | Globally Customized,10293,828
Samsung Galaxy S22 Ultra 12GB RAM 512GB ROM | Official PTA Approved | 5G Smartphone | 108MP Camera | S-Pen Built-in,175000,
Vivo Y20s Mobile Phone | 8GB RAM 256GB ROM(For User 4/128) | Android 10 | 5000mAh Battery | Vivo Mobile Phone | Triple Camera | Dual Sim Approved | With Charger Jelly Cover & Handsfree | Globally Customized,19999,14
Daraz Like New - Samsung Galaxy S23 8GB RAM 128GB ROM PTA Approved | 5G Smartphone | Snapdragon 8 Gen 2 | Brand New Condition - Free Charger & Cover,99999,
Daraz Like New Phone - Google Pixel 9 pro XL - 16GB / 256GB - OFFICIAL PTA APPROVED - SIX MONTHS WARRANTY,249999,
Daraz Like New Phone - Google Pixel 10 Pro XL - 256GB - Dual Esim (PTA APPROVED) - WITH CHARGER AND COVER,245999,
Motorola Mobile Moto G 5G 2024 | 8GB RAM (4+4 Extended) | 128GB ROM | No SIM (WiFi Device) | Android 14 /15 | 120Hz Refresh Rate | Compatible Fast Charger + Handsfree - Motorola Mobile | Globally Customized,22497,
Imported ViVo S1 with Box Dual Engine Fast Charger Back Jelly Cover Handsfree Sim Eject Tool - 8/256 RAM ROM (for user 6/128) - Super AMOLED Display - Dual Sim Approved - Vivo Mobile Phone - Vivo Phone - Budget Phone - 4G Mobile - Globally Customized,21993,295
Samsung Galaxy S22 5G – 8GB RAM | 128GB Storage | Official PTA Approved | Dual SIM | AMOLED Display | 50MP Camera | Premium Smartphone – Pakistan,110000,
Vivo Y20s Mobile Phone | 8GB RAM 256GB ROM(For User 6/128) | Android 10 | 5000mAh Battery | Vivo Mobile Phone | Triple Camera | Dual Sim Approved | With Charger Jelly Cover & Handsfree | Globally Customized,20994,
Daraz Like New Phone - Google Pixel 9 pro XL - 16gb / 128gb - Tensor G4 - 6.8' OLED Display - PTA APPROVED - With free cover and charger,184999,
Vivo Mobile Phone Y85 Global Variant 4GB 64GB – Dual Sim Approved - Imported Model | Superior to Local | +Free Shockproof Jelly Cover | 13MP Dual Camera | with Charger & Handsfree | Best Discounted Price in Pakistan | Vivo Y85 Globally Customized,14999,14000
Imported Oppo A57 Gifts(Charger Jelly Cover Sim Eject Tool)- Dual Sim IMEI Approved - 4/64 Memory ( For User 3/32) - 3GB RAM Mobile - Snapdragon Processor Mobile - Oppo Mobile - Oppo Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile,10293,288
"🔥 SAMSUNG GALAXY S4 – No SIM (WiFi Device) 🔥 5"" Super AMOLED HD Display | 2GB RAM | WiFi Only Smartphone | Youtube,Tiktok insta Preinstalled | With Charger Included | Best Budget WiFi Mobile in Pakistan | Samsung Mobile Phone | Globally Customized",9999,
Daraz Like New Mobile Phones - Google Pixel 10 Pro XL - 256GB - Dual Esim (PTA APPROVED) - WITH CHARGER AND COVER - USED,244999,
Daraz Like New - Google Pixel 8 | 8GB I 128GB I Official PTA Approved I 5G Dual SIM | Google Tensor G3 I With Free Cover & Charger,109999,
Samsung Galaxy S22 5G – 8GB RAM | 256GB Storage | Official PTA Approved | Dual SIM | Dynamic AMOLED Display | 50MP Camera | Premium Smartphone – Pakistan,120000,
Motorola Mobile Phone Moto G Play 2024 - Tot 8GB RAM(4+4) - No Sims(WiFi Device) - Free Accessories - Android 14 - Snapdragon 680 - PubG Around 60 Fps - 50MP Camera - 5000mAh Battery - 90Hz Display - Motorola Mobile Phones Low Price  - Globally Customized,20994,16
"Imported Original Vivo Y71 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | 3360mAh Battery | Fresh Kit | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",10999,21
Samsung Galaxy S23 Ultra 12GB RAM 512GB ROM | Official PTA Approved | 5G Smartphone | 200MP Camera | S-Pen Built-in,230000,
Daraz Like New Phone - Samsung S24 Ultra- 12/256GB - PTA APPROVED - Brand New Condition - WITH CHARGER AND COVER,248999,
Daraz Like New - Samsung Galaxy S22 Ultra Official PTA Approved | 12GB RAM | 256GB/512GB | Snapdragon 8 Gen 1 | 108MP Camera | 5G | S Pen,149999,
Daraz Like New - Google Pixel 9 Pro XL 16GB RAM 512GB ROM (Official PTA Approved )| 5G Smartphone | Brand New Conditon (Free charger & Cover),239999,
Daraz Like New Phone - Motorola G Stylus 2025 - 8gb / 128gb - 5G Physical and Esim - PTA APPROVED - FREE CHARGER AND COVER,74999,
Global Variant - TCL 30 Z with Charger - Android 12 -  No Sims - 3/32 - TCL Mobile Phone -  Budget Phone - Globally Customized,8997,
Daraz Like New - Motorola Razar 60 Swarovski - 8GB /256GB - Fingerprint - Brand new Conditon  - Free charger and cover,169999,
"Mobile - Imported Original Vivo Y97 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | 3315mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",14999,12
"Vivo Y71 6/128 Ram Rom(3/32 for user) - with Free Charger, Handsfree, Jelly Cover & Sim Tool - Dual Sim Approved Best Budget Smartphone Deal | Limited Time Discount | Globally Customized",11598,66
Nokia C3-00 – PTA Approved – Wi-Fi & Bluetooth – Full QWERTY Keypad – 2MP Camera – Stylish Metal Finish,6499,
Daraz Like New Phones - Motorola Moto G84 5G || 12GB Ram 256GB Rom || 5000mAh Battery || FREE COVER AND CHARGER,74999,
"Samsung Galaxy S21 | 6.2 Inches Display |128 GB Storage | 8 GB RAM | Qualcomm Snapdragon | Triple Main Camera (12MP, 64MP and 12MP) and 10 MP Selfie Camera | Official PTA Approved | Daraz Like New Phones (Used Mobile Phones - 100 % Original)",92499,
Daraz Like New Phones - Vivo Y28 - IPS LCD - 6.68 Inches Display - 8GB RAM 128GB ROM - 8MP Front Camera - 50MP+2MP Rear Camera - MediaTek Helio G85 Processor - Dual SIM - 6000mAh Battery With FREE COVER AND CHARGER,46999,
"Imported Original Vivo Y17 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | Fingerprint | 5000mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 9 | Just Like New Condition | With Box, Fast Charger, Cable & FREE Handsfree",18999,126
"Daraz Like New Mobile -  (OPP0 A15 )  4GB RAM  64 GB ROM   With 4230 mAh Battery, Stunning Performance ( FREE CHARGER AND COVER )",20999,
Daraz Like New - Sharp Aquos Sense 7 Plus 6GB RAM 128GB ROM (Official PTA Approved) | 5G Smartphone | Snapdragon 695 | Free Cover & Charger,59999,
"Daraz Like New - TCL 50 XL | 6GB RAM | 128GB Storage | 6.78"" FHD+ 120Hz Display | 50MP AI Camera | 5G - Free cover and charger",29999,
