title,Price,Beds,Bath rooms,Area
A Prime Location 233 Square Yards House In Karachi Is On The Market For Sale,Rs 8.65 Crore,6 Beds,6 Baths,233 SQYD
5 MARLA BRAND NEW HOUSE FOR SALE,Rs 2.25 Crore,5 Beds,6 Baths,5 Marla
5 Marla Double storey House with Solar for Sale.,Rs 1.30 Crore,3 Beds,3 Baths,5 Marla
1 Kanal Modern Designed Luxury Bungalow for Sale At Prime Location In DHA Phase 6 NEAR TO DOLMEN MALL,Rs 9.75 Crore,5 Beds,6 Baths,1 Kanal
5 Marla Modern Design Facing Park Brand New House Available For Sale,Rs 1.55 Crore,3 Beds,3 Baths,5 Marla
A House Of 5 Marla In Faisal Margalla City,Rs 2.40 Crore,3 Beds,4 Baths,5 Marla
10 Marla House In Central Sabzazar Scheme For Sale,Rs 4.45 Crore,5 Beds,5 Baths,10 Marla
Brand new 25x40 house available for sale in G-13,Rs 4.59 Crore,4 Beds,5 Baths,"1,000 SQFT"
60 Square Yards House For sale Gulistan e Johar Block-9 Bhittaiabad,Rs 49 Lacs,4 Beds,5 Baths,60 SQYD
Prime Location VIP Double Storey House On 30 Feet Road For SALE,Rs 4.50 Crore,4 Beds,4 Baths,10 Marla
VIP Double Storey House For SALE,Rs 4.15 Crore,4 Beds,4 Baths,"2,025 SQFT"
Prime Location Old Single Storey House On 30' Road For SALE,Rs 4.25 Crore,2 Beds,3 Baths,10 Marla
10 Marla House For Sale In Paragon City Lahore,Rs 4.70 Crore,5 Beds,6 Baths,10 Marla
1 Kanal House For Sale In Paragon City Lahore,Rs 10.50 Crore,6 Beds,7 Baths,1 Kanal
4 Marla House For Sale In Paragon City Lahore,Rs 2.10 Crore,3 Beds,4 Baths,4 Marla
6 Marla House For Sale In Paragon City Lahore,Rs 2.50 Crore,3 Beds,4 Baths,6 Marla
5 Marla House For Sale In Paragon City Lahore,Rs 2.40 Crore,3 Beds,4 Baths,5 Marla
5 Marla House For Sale In Paragon City Lahore,Rs 2.50 Crore,3 Beds,4 Baths,5 Marla
Double Storey 5 Marla House On Gosia Colony Neelam Block For SALE,Rs 1.80 Crore,3 Beds,3 Baths,"1,156 SQFT"
"Triple Storey House With 6Kw Solar Panel, 10Kw Invertor, Green Meter For SALE",Rs 1.80 Crore,4 Beds,4 Baths,619 SQFT
"4 Marla Double Storey House At Neelam Block Gosia Colony, Lahore For Sale",Rs 1.50 Crore,4 Beds,2 Baths,4 Marla
New VIP Triple Story 6 Beds House With 21 Solar Fans For SALE,Rs 3.25 Crore,6 Beds,7 Baths,5 Marla
5 Marla House For Sale In Paragon City Lahore,Rs 2.75 Crore,3 Beds,4 Baths,5 Marla
5 Marla House For Sale In Paragon City Lahore,Rs 2.75 Crore,3 Beds,4 Baths,5 Marla
