Beds,Baths,Area,Location,Price
3,3,"2,014 sqft","Portofino, DAMAC Lagoons, Dubai","2,290,000"
4,4,"4,234 sqft","Waterfront Villas, Bay Villas, Dubai Islands, Dubai","6,100,000"
N/A,1,380 sqft,"Raw District by Imtiaz, Downtown Jebel Ali, Jebel Ali, Dubai","635,000"
1,2,800 sqft,"Samana Ibiza, Dubai Land Residence Complex (DLRC), Dubai","910,346"
N/A,1,368 sqft,"Enchante by Grid Tower 4, Enchante by Grid, Arjan, Dubai","662,000"
N/A,1,361 sqft,"Binghatti Hillside, Dubai Science Park, Dubai","599,000"
1,2,767 sqft,"Samana Boulevard Heights, Dubai Land Residence Complex (DLRC), Dubai","899,572"
4,5,"5,872 sqft","Palmiera, The Oasis by Emaar, Dubai","9,550,000"
N/A,1,387 sqft,"Lagoon Views 13 Tower A, Lagoon Views 13, Lagoon Views, DAMAC Lagoons, Dubai","721,000"
4,5,"3,500 sqft","Verdana 3, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","1,300,000"
1,2,863 sqft,"Binghatti Skyterraces, Motor City, Dubai","975,000"
1,2,709 sqft,"Samana Imperial Gardens, Arjan, Dubai","937,953"
3,4,"3,121 sqft","Verdana 3, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","1,150,000"
2,3,"1,700 sqft","Verdana 3, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","1,000,000"
1,2,809 sqft,"Samana Boulevard Heights, Dubai Land Residence Complex (DLRC), Dubai","871,966"
4,6,"3,500 sqft","Verdana 2, Dubai Investments Park (DIP), Dubai","1,240,000"
2,3,"1,396 sqft","Verdana 7, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","1,045,000"
4,5,"1,882 sqft","Verdana Residence 6, Verdana 6, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","990,000"
1,2,597 sqft,"Samana Imperial Gardens, Arjan, Dubai","850,419"
N/A,1,521 sqft,"Binghatti Elite, Dubai Production City (IMPZ), Dubai","555,000"
3,4,"1,565 sqft","Verdana Residence 4, Verdana 4, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","900,000"
3,4,"1,745 sqft","Ocean Pearl by SD, Dubai Islands, Dubai","2,727,786"
2,3,"1,087 sqft","Verdana Residence 6, Verdana 6, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","720,000"
3,4,"1,655 sqft","Verdana 7, Dubai Investments Park 1, Dubai Investments Park (DIP), Dubai","1,140,000"
