Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2020177,2020,04/14/2021,Ansonia,323 BEAVER ST,133000.00,248400.00,0.5354,Residential,Single Family,,,,POINT (-73.06822 41.35014)
2020225,2020,05/26/2021,Ansonia,152 JACKSON ST,110500.00,239900.00,0.4606,Residential,Three Family,,,,
2020348,2020,09/13/2021,Ansonia,230 WAKELEE AVE,150500.00,325000.00,0.463,Commercial,,,,,
2020090,2020,12/14/2020,Ansonia,57 PLATT ST,127400.00,202500.00,0.6291,Residential,Two Family,,,,
200500,2020,09/07/2021,Avon,245 NEW ROAD,217640.00,400000.00,0.5441,Residential,Single Family,,,,
200121,2020,12/15/2020,Avon,63 NORTHGATE,528490.00,775000.00,0.6819,Residential,Single Family,,,,POINT (-72.89675 41.79445)
20058,2020,06/01/2021,Barkhamsted,46 RATLUM MTN RD,203530.00,415000.00,0.490433735,Residential,Single Family,,"2003 COLONIAL, 2140 SFLA, 2.99 AC",,
200046,2020,01/25/2021,Beacon Falls,34 LASKY ROAD,158030.00,243000.00,0.6503,Residential,Single Family,,,,
200016,2020,11/13/2020,Beacon Falls,9 AVON COURT,65590.00,100000.00,0.6559,Residential,Condo,,,,
2020360,2020,08/10/2021,Berlin,94 PERCIVAL AVE,140600.00,190790.00,0.7369,Residential,Single Family,,,,
20281,2020,04/21/2021,Bethel,16 OXFORD STREET,170800.00,307000.00,0.5563,Residential,Single Family,,,,
20364,2020,06/17/2021,Bethel,1308 LEXINGTON BOULEVARD,195300.00,365000.00,0.535,Residential,Condo,,,,
20423,2020,07/21/2021,Bethel,10 CASTLE HILL ROAD,219870.00,325000.00,0.6765,Residential,Single Family,,,,
20097,2020,11/25/2020,Bethel,8 BLACKMAN AVENUE,264040.00,445000.00,0.5933,Residential,Two Family,,,,
200008,2020,10/21/2020,Bethlehem,34 HIGHLAND ROAD,82000.00,106000.00,0.7735,Residential,Single Family,,,,
20062,2020,05/10/2021,Bolton,39 STONEHEDGE LN,189400.00,273750.00,0.6918,Residential,Single Family,,,,
200305,2020,02/22/2021,Branford,49 ROSE ST TOWERS UNIT 402,97800.00,147000.00,0.6653,Residential,Condo,,,,
200400,2020,04/08/2021,Branford,460 MAIN ST,180500.00,355000.00,0.5084,Residential,Two Family,,,,
200423,2020,04/23/2021,Branford,24 COLLINS DR,147000.00,290000.00,0.5068,Residential,Single Family,,,,
200483,2020,05/18/2021,Branford,61 PALMER RD,219900.00,460000.00,0.478,Residential,Single Family,,,,
